Course,Subject Combination,Number of Students (India)
Engineering,"Physics, Chemistry, Mathematics, Computer Science (Optional)",500000
Medicine (MBBS),"Physics, Chemistry, Biology, Mathematics (Optional)",350000
Biotechnology,"Physics, Chemistry, Biology, Mathematics (Optional)",100000
Pharmacy,"Physics, Chemistry, Biology or Mathematics",150000
Computer Science,"Physics, Chemistry, Mathematics, Computer Science (Optional)",450000
Astronomy,"Physics, Mathematics, Chemistry (Optional)",50000
Environmental Science,"Physics, Chemistry, Biology, Mathematics (Optional)",80000
Nursing,"Physics, Chemistry, Biology",200000
Agricultural Science,"Physics, Chemistry, Biology or Mathematics",120000
Forensic Science,"Physics, Chemistry, Biology, Mathematics (Optional)",70000
Biochemistry,"Physics, Chemistry, Biology, Mathematics (Optional)",60000
Zoology,"Physics, Chemistry, Biology, Mathematics (Optional)",90000
Botany,"Physics, Chemistry, Biology, Mathematics (Optional)",80000
Microbiology,"Physics, Chemistry, Biology, Mathematics (Optional)",100000
Genetics,"Physics, Chemistry, Biology, Mathematics (Optional)",70000
Psychology,Any combination with an emphasis on Biology or Mathematics,250000
Nutrition and Dietetics,"Physics, Chemistry, Biology, Mathematics (Optional)",85000
Biomedical Science,"Physics, Chemistry, Biology, Mathematics (Optional)",75000
Statistics,"Mathematics, Physics (Optional), Chemistry (Optional)",50000
Data Science,"Physics, Mathematics, Computer Science (Optional)",120000
Astrophysics,"Physics, Mathematics, Chemistry (Optional)",45000
Nanotechnology,"Physics, Chemistry, Mathematics, Biology (Optional)",55000
Marine Biology,"Physics, Chemistry, Biology, Mathematics (Optional)",60000
Biophysics,"Physics, Chemistry, Biology, Mathematics (Optional)",40000
Forestry,"Physics, Chemistry, Mathematics, Biology (Optional)",70000
Material Science,"Physics, Chemistry, Mathematics, Biology (Optional)",55000
Meteorology,"Physics, Chemistry, Mathematics, Biology (Optional)",50000
Mathematical Physics,"Mathematics, Physics (Optional), Chemistry (Optional)",60000
Actuarial Science,"Physics, Mathematics, Computer Science (Optional)",35000
Medical Laboratory Technology,"Physics, Chemistry, Biology, Mathematics (Optional)",40000
Radiology,"Physics, Chemistry, Biology, Mathematics (Optional)",90000
Aeronautical Engineering,"Physics, Chemistry, Mathematics, Computer Science (Optional)",95000
Information Technology,"Physics, Chemistry, Mathematics, Computer Science (Optional)",80000
Artificial Intelligence,"Physics, Mathematics, Computer Science, Statistics (Optional)",100000
Electronics and Communication Eng...,"Physics, Chemistry, Mathematics, Computer Science (Optional)",70000
Mechanical Engineering,"Physics, Chemistry, Mathematics, Computer Science (Optional)",110000
Civil Engineering,"Physics, Chemistry, Mathematics, Computer Science (Optional)",130000
Electrical Engineering,"Physics, Chemistry, Mathematics, Computer Science (Optional)",120000
Chemical Engineering,"Physics, Chemistry, Biology, Mathematics (Optional)",100000
Astrobiology,"Physics, Chemistry, Geology (Optional)",90000
Geology,"Physics, Chemistry, Mathematics, Biology (Optional)",40000
Oceanography,"Physics, Mathematics, Chemistry (Optional)",60000
Aviation,"Physics, Chemistry, Geography (Optional)",55000
Geography,"Physics, Mathematics, Computer Science",45000
Data Analytics,"Physics, Chemistry, Biology, Mathematics (Optional)",70000
Environmental Engineering,"Physics, Chemistry, Biology, Mathematics (Optional)",85000
Industrial Biotechnology,"Physics, Chemistry, Biology, Mathematics (Optional)",75000
Forensic Biology,"Physics, Chemistry, Mathematics, Computer Science (Optional)",65000
